"Name","Sex","Age","Country","Year","Event","Medal","Population","GDP_per_Capita","Density","HappinessRank","HappinessScore","total_medal_amount"
"Catherine Ward","F",22,"CAN",2010,"Ice Hockey Women's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Catherine Ward","F",26,"CAN",2014,"Ice Hockey Women's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Heike Warnicke (Schalling-, -Sinaki)","F",25,"GER",1992,"Speed Skating Women's 3,000 metres","Silver",81413145,41313.31399,240,15,6.965,386
"Heike Warnicke (Schalling-, -Sinaki)","F",25,"GER",1992,"Speed Skating Women's 5,000 metres","Silver",81413145,41313.31399,240,15,6.965,386
"Todd Warriner","M",20,"CAN",1994,"Ice Hockey Men's Ice Hockey","Silver",35851774,43248.52991,4,7,7.328,611
"Justin Warsylewicz","M",20,"CAN",2006,"Speed Skating Men's Team Pursuit (8 laps)","Silver",35851774,43248.52991,4,7,7.328,611
"Birger Adolf Wasenius","M",24,"FIN",1936,"Speed Skating Men's 1,500 metres","Bronze",5482013,42311.03623,18,1,7.632,426
"Birger Adolf Wasenius","M",24,"FIN",1936,"Speed Skating Men's 5,000 metres","Silver",5482013,42311.03623,18,1,7.632,426
"Birger Adolf Wasenius","M",24,"FIN",1936,"Speed Skating Men's 10,000 metres","Silver",5482013,42311.03623,18,1,7.632,426
"Stephan Waser","M",31,"SUI",1952,"Bobsleigh Men's Two","Bronze",8286976,80945.07922,219,5,7.487,275
"Stephan Waser","M",31,"SUI",1952,"Bobsleigh Men's Four","Bronze",8286976,80945.07922,219,5,7.487,275
"Alan Morgan ""Al"" Washbond","M",36,"USA",1936,"Bobsleigh Men's Two","Gold",321418820,56115.71843,36,18,6.886,635
"Markus Wasmeier","M",30,"GER",1994,"Alpine Skiing Men's Super G","Gold",81413145,41313.31399,240,15,6.965,386
"Markus Wasmeier","M",30,"GER",1994,"Alpine Skiing Men's Giant Slalom","Gold",81413145,41313.31399,240,15,6.965,386
