"Name","Sex","Age","Country","Year","Event","Medal","Population","GDP_per_Capita","Density","HappinessRank","HappinessScore","total_medal_amount"
"Juhamatti Tapio Aaltonen","M",28,"FIN",2014,"Ice Hockey Men's Ice Hockey","Bronze",5482013,42311.03623,18,1,7.632,426
"Kjetil Andr Aamodt","M",20,"NOR",1992,"Alpine Skiing Men's Super G","Gold",5195921,74400.36978,15,2,7.594,443
"Kjetil Andr Aamodt","M",20,"NOR",1992,"Alpine Skiing Men's Giant Slalom","Bronze",5195921,74400.36978,15,2,7.594,443
"Kjetil Andr Aamodt","M",22,"NOR",1994,"Alpine Skiing Men's Downhill","Silver",5195921,74400.36978,15,2,7.594,443
"Kjetil Andr Aamodt","M",22,"NOR",1994,"Alpine Skiing Men's Super G","Bronze",5195921,74400.36978,15,2,7.594,443
"Kjetil Andr Aamodt","M",22,"NOR",1994,"Alpine Skiing Men's Combined","Silver",5195921,74400.36978,15,2,7.594,443
"Kjetil Andr Aamodt","M",30,"NOR",2002,"Alpine Skiing Men's Super G","Gold",5195921,74400.36978,15,2,7.594,443
"Kjetil Andr Aamodt","M",30,"NOR",2002,"Alpine Skiing Men's Combined","Gold",5195921,74400.36978,15,2,7.594,443
"Kjetil Andr Aamodt","M",34,"NOR",2006,"Alpine Skiing Men's Super G","Gold",5195921,74400.36978,15,2,7.594,443
"Roald Edgar Aas","M",23,"NOR",1952,"Speed Skating Men's 1,500 metres","Bronze",5195921,74400.36978,15,2,7.594,443
"Roald Edgar Aas","M",31,"NOR",1960,"Speed Skating Men's 1,500 metres","Gold",5195921,74400.36978,15,2,7.594,443
"Jeremy Abbott","M",28,"USA",2014,"Figure Skating Mixed Team","Bronze",321418820,56115.71843,36,18,6.886,635
"Clarence John Abel","M",23,"USA",1924,"Ice Hockey Men's Ice Hockey","Silver",321418820,56115.71843,36,18,6.886,635
"George Gordon Abel","M",35,"CAN",1952,"Ice Hockey Men's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Karl Gustaf Emanuel Abrahamsson","M",31,"SWE",1928,"Ice Hockey Men's Ice Hockey","Silver",9798871,50579.67365,25,9,7.314,428
"Yekaterina Konstantinovna Abramova","F",23,"RUS",2006,"Speed Skating Women's Team Pursuit (6 laps)","Bronze",144096812,9092.580536,9,59,5.81,260
"Paul Accola","M",20,"SUI",1988,"Alpine Skiing Men's Combined","Bronze",8286976,80945.07922,219,5,7.487,275
"Ronny Ackermann","M",24,"GER",2002,"Nordic Combined Men's Team","Silver",81413145,41313.31399,240,15,6.965,386
"Ronny Ackermann","M",24,"GER",2002,"Nordic Combined Men's Sprint","Silver",81413145,41313.31399,240,15,6.965,386
"Ronny Ackermann","M",28,"GER",2006,"Nordic Combined Men's Team","Silver",81413145,41313.31399,240,15,6.965,386
"Donat Acklin","M",26,"SUI",1992,"Bobsleigh Men's Two","Gold",8286976,80945.07922,219,5,7.487,275
"Donat Acklin","M",26,"SUI",1992,"Bobsleigh Men's Four","Bronze",8286976,80945.07922,219,5,7.487,275
"Donat Acklin","M",28,"SUI",1994,"Bobsleigh Men's Two","Gold",8286976,80945.07922,219,5,7.487,275
"Donat Acklin","M",28,"SUI",1994,"Bobsleigh Men's Four","Silver",8286976,80945.07922,219,5,7.487,275
"Guido Acklin","M",24,"SUI",1994,"Bobsleigh Men's Two","Silver",8286976,80945.07922,219,5,7.487,275
"Michael B. ""Mike"" Adam","M",24,"CAN",2006,"Curling Men's Curling","Gold",35851774,43248.52991,4,7,7.328,611
"Richard ""Richy""  Adjei","M",27,"GER",2010,"Bobsleigh Men's Two","Silver",81413145,41313.31399,240,15,6.965,386
"Maksim Sergeyevich Afinogenov","M",22,"RUS",2002,"Ice Hockey Men's Ice Hockey","Bronze",144096812,9092.580536,9,59,5.81,260
"Meghan Christina Agosta (-Marciano)","F",18,"CAN",2006,"Ice Hockey Women's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Meghan Christina Agosta (-Marciano)","F",23,"CAN",2010,"Ice Hockey Women's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Meghan Christina Agosta (-Marciano)","F",26,"CAN",2014,"Ice Hockey Women's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Benjamin Alexandro ""Ben"" Agosto","M",24,"USA",2006,"Figure Skating Mixed Ice Dancing","Silver",321418820,56115.71843,36,18,6.886,635
"Kevin Joseph Ahearn","M",23,"USA",1972,"Ice Hockey Men's Ice Hockey","Silver",321418820,56115.71843,36,18,6.886,635
"Mats Bertil hlberg","M",32,"SWE",1980,"Ice Hockey Men's Ice Hockey","Bronze",9798871,50579.67365,25,9,7.314,428
"Annica Gunilla hln","F",27,"SWE",2002,"Ice Hockey Women's Ice Hockey","Bronze",9798871,50579.67365,25,9,7.314,428
"Johan Petter hln (Andersson-)","M",44,"SWE",1924,"Curling Men's Curling","Silver",9798871,50579.67365,25,9,7.314,428
"Thomas Valter hln","M",24,"SWE",1984,"Ice Hockey Men's Ice Hockey","Bronze",9798871,50579.67365,25,9,7.314,428
"Janne Petteri Ahonen","M",24,"FIN",2002,"Ski Jumping Men's Large Hill, Team","Silver",5482013,42311.03623,18,1,7.632,426
"Janne Petteri Ahonen","M",28,"FIN",2006,"Ski Jumping Men's Large Hill, Team","Silver",5482013,42311.03623,18,1,7.632,426
"Hans Aichele","M",24,"SUI",1936,"Bobsleigh Men's Four","Silver",8286976,80945.07922,219,5,7.487,275
"Albina Khamitovna Akhatova","F",21,"RUS",1998,"Biathlon Women's 4 x 7.5 kilometres Relay","Silver",144096812,9092.580536,9,59,5.81,260
"Albina Khamitovna Akhatova","F",25,"RUS",2002,"Biathlon Women's 4 x 7.5 kilometres Relay","Bronze",144096812,9092.580536,9,59,5.81,260
"Albina Khamitovna Akhatova","F",29,"RUS",2006,"Biathlon Women's 10 kilometres Pursuit","Bronze",144096812,9092.580536,9,59,5.81,260
"Albina Khamitovna Akhatova","F",29,"RUS",2006,"Biathlon Women's 15 kilometres","Bronze",144096812,9092.580536,9,59,5.81,260
"Albina Khamitovna Akhatova","F",29,"RUS",2006,"Biathlon Women's 4 x 6 kilometres Relay","Gold",144096812,9092.580536,9,59,5.81,260
"Mika Antero Alatalo","M",22,"FIN",1994,"Ice Hockey Men's Ice Hockey","Bronze",5482013,42311.03623,18,1,7.632,426
"Toimi Johannes Alatalo","M",30,"FIN",1960,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Gold",5482013,42311.03623,18,1,7.632,426
"Marco Albarello","M",31,"ITA",1992,"Cross Country Skiing Men's 10 kilometres","Silver",60802085,29957.80432,206,47,6,191
"Marco Albarello","M",31,"ITA",1992,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Silver",60802085,29957.80432,206,47,6,191
"Marco Albarello","M",33,"ITA",1994,"Cross Country Skiing Men's 10 kilometres","Bronze",60802085,29957.80432,206,47,6,191
"Marco Albarello","M",33,"ITA",1994,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Gold",60802085,29957.80432,206,47,6,191
"Marco Albarello","M",37,"ITA",1998,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Silver",60802085,29957.80432,206,47,6,191
"Brigitte Albrecht-Loretan","F",31,"SUI",2002,"Cross Country Skiing Women's 4 x 5 kilometres Relay","Bronze",8286976,80945.07922,219,5,7.487,275
"Tenley Emma Albright (-Gardiner, -Blakely)","F",16,"USA",1952,"Figure Skating Women's Singles","Silver",321418820,56115.71843,36,18,6.886,635
"Tenley Emma Albright (-Gardiner, -Blakely)","F",20,"USA",1956,"Figure Skating Women's Singles","Gold",321418820,56115.71843,36,18,6.886,635
"Hans Daniel Alfredsson","M",33,"SWE",2006,"Ice Hockey Men's Ice Hockey","Gold",9798871,50579.67365,25,9,7.314,428
"Hans Daniel Alfredsson","M",41,"SWE",2014,"Ice Hockey Men's Ice Hockey","Silver",9798871,50579.67365,25,9,7.314,428
"Ulf Hkan Gran Algotsson","M",27,"SWE",1994,"Ice Hockey Men's Ice Hockey","Gold",9798871,50579.67365,25,9,7.314,428
"Scott Ethan ""Scotty"" Allen","M",14,"USA",1964,"Figure Skating Men's Singles","Bronze",321418820,56115.71843,36,18,6.886,635
"sa Annelie Charlotte ""Lotta"" Almblad (-Lindefors)","F",29,"SWE",2002,"Ice Hockey Women's Ice Hockey","Bronze",9798871,50579.67365,25,9,7.314,428
"Gte Augustin Almqvist","M",30,"SWE",1952,"Ice Hockey Men's Ice Hockey","Bronze",9798871,50579.67365,25,9,7.314,428
"Thomas Alsgaard (Alsgrd-)","M",22,"NOR",1994,"Cross Country Skiing Men's 30 kilometres","Gold",5195921,74400.36978,15,2,7.594,443
"Thomas Alsgaard (Alsgrd-)","M",22,"NOR",1994,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Silver",5195921,74400.36978,15,2,7.594,443
"Thomas Alsgaard (Alsgrd-)","M",26,"NOR",1998,"Cross Country Skiing Men's 10/15 kilometres Pursuit","Gold",5195921,74400.36978,15,2,7.594,443
"Thomas Alsgaard (Alsgrd-)","M",26,"NOR",1998,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Gold",5195921,74400.36978,15,2,7.594,443
"Thomas Alsgaard (Alsgrd-)","M",30,"NOR",2002,"Cross Country Skiing Men's 10/10 kilometres Pursuit","Gold",5195921,74400.36978,15,2,7.594,443
"Thomas Alsgaard (Alsgrd-)","M",30,"NOR",2002,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Gold",5195921,74400.36978,15,2,7.594,443
"Robert Alt","M",29,"SUI",1956,"Bobsleigh Men's Four","Gold",8286976,80945.07922,219,5,7.487,275
"Livia Altmann","F",19,"SUI",2014,"Ice Hockey Women's Ice Hockey","Bronze",8286976,80945.07922,219,5,7.487,275
"Eduardo C. ""Eddy"" Alvarez","M",24,"USA",2014,"Short Track Speed Skating Men's 5,000 metres Relay","Silver",321418820,56115.71843,36,18,6.886,635
"Renzo Alver","M",23,"ITA",1956,"Bobsleigh Men's Two","Silver",60802085,29957.80432,206,47,6,191
"Renzo Alver","M",23,"ITA",1956,"Bobsleigh Men's Four","Silver",60802085,29957.80432,206,47,6,191
"Ivan Vladimirovich Alypov","M",23,"RUS",2006,"Cross Country Skiing Men's Team Sprint","Bronze",144096812,9092.580536,9,59,5.81,260
"Simon Ammann","M",20,"SUI",2002,"Ski Jumping Men's Normal Hill, Individual","Gold",8286976,80945.07922,219,5,7.487,275
"Simon Ammann","M",20,"SUI",2002,"Ski Jumping Men's Large Hill, Individual","Gold",8286976,80945.07922,219,5,7.487,275
"Simon Ammann","M",28,"SUI",2010,"Ski Jumping Men's Normal Hill, Individual","Gold",8286976,80945.07922,219,5,7.487,275
"Simon Ammann","M",28,"SUI",2010,"Ski Jumping Men's Large Hill, Individual","Gold",8286976,80945.07922,219,5,7.487,275
"Anthony Lewis ""Tony"" Amonte","M",31,"USA",2002,"Ice Hockey Men's Ice Hockey","Silver",321418820,56115.71843,36,18,6.886,635
"Viktor An","M",28,"RUS",2014,"Short Track Speed Skating Men's 500 metres","Gold",144096812,9092.580536,9,59,5.81,260
"Viktor An","M",28,"RUS",2014,"Short Track Speed Skating Men's 1,000 metres","Gold",144096812,9092.580536,9,59,5.81,260
"Viktor An","M",28,"RUS",2014,"Short Track Speed Skating Men's 1,500 metres","Bronze",144096812,9092.580536,9,59,5.81,260
"Viktor An","M",28,"RUS",2014,"Short Track Speed Skating Men's 5,000 metres Relay","Gold",144096812,9092.580536,9,59,5.81,260
"Douglas Thomas ""Doug"" Anakin","M",33,"CAN",1964,"Bobsleigh Men's Four","Gold",35851774,43248.52991,4,7,7.328,611
"Stefan ""Steve"" Anderhub","M",31,"SUI",2002,"Bobsleigh Men's Two","Silver",8286976,80945.07922,219,5,7.487,275
"Alf Steen Andersen","M",21,"NOR",1928,"Ski Jumping Men's Normal Hill, Individual","Gold",5195921,74400.36978,15,2,7.594,443
"Hjalmar Johan Andersen","M",28,"NOR",1952,"Speed Skating Men's 1,500 metres","Gold",5195921,74400.36978,15,2,7.594,443
"Hjalmar Johan Andersen","M",28,"NOR",1952,"Speed Skating Men's 5,000 metres","Gold",5195921,74400.36978,15,2,7.594,443
"Hjalmar Johan Andersen","M",28,"NOR",1952,"Speed Skating Men's 10,000 metres","Gold",5195921,74400.36978,15,2,7.594,443
"Reidar Andersen","M",24,"NOR",1936,"Ski Jumping Men's Normal Hill, Individual","Bronze",5195921,74400.36978,15,2,7.594,443
"Terje Andersen","M",27,"NOR",1980,"Speed Skating Men's 1,500 metres","Bronze",5195921,74400.36978,15,2,7.594,443
"Jamie Louise Anderson","F",23,"USA",2014,"Snowboarding Women's Slopestyle","Gold",321418820,56115.71843,36,18,6.886,635
"Jasey-Jay Anderson","M",34,"CAN",2010,"Snowboarding Men's Parallel Giant Slalom","Gold",35851774,43248.52991,4,7,7.328,611
"Osborne ""Ty"" Anderson","M",23,"USA",1932,"Ice Hockey Men's Ice Hockey","Silver",321418820,56115.71843,36,18,6.886,635
"Wendell Richard Anderson","M",22,"USA",1956,"Ice Hockey Men's Ice Hockey","Silver",321418820,56115.71843,36,18,6.886,635
"ke Gustav Andersson","M",33,"SWE",1952,"Ice Hockey Men's Ice Hockey","Bronze",9798871,50579.67365,25,9,7.314,428
"ke Anders Andersson","M",27,"SWE",1964,"Ice Hockey Men's Ice Hockey","Silver",9798871,50579.67365,25,9,7.314,428
"Anna Christina Andersson","F",20,"SWE",2002,"Ice Hockey Women's Ice Hockey","Bronze",9798871,50579.67365,25,9,7.314,428
"Bjarne Lennart Andersson","M",27,"SWE",1968,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Silver",9798871,50579.67365,25,9,7.314,428
"Cecilia Christine Elisabeth Andersson","F",23,"SWE",2006,"Ice Hockey Women's Ice Hockey","Silver",9798871,50579.67365,25,9,7.314,428
"Gunilla Victoria Andersson","F",26,"SWE",2002,"Ice Hockey Women's Ice Hockey","Bronze",9798871,50579.67365,25,9,7.314,428
"Gunilla Victoria Andersson","F",30,"SWE",2006,"Ice Hockey Women's Ice Hockey","Silver",9798871,50579.67365,25,9,7.314,428
"Bo Leif Andersson","M",30,"SWE",1992,"Biathlon Men's 4 x 7.5 kilometres Relay","Bronze",9798871,50579.67365,25,9,7.314,428
"Lina Marie Andersson","F",24,"SWE",2006,"Cross Country Skiing Women's Team Sprint","Gold",9798871,50579.67365,25,9,7.314,428
"Bo Mikael Andersson","M",28,"SWE",1988,"Ice Hockey Men's Ice Hockey","Bronze",9798871,50579.67365,25,9,7.314,428
"Nils Peter Andersson","M",25,"SWE",1988,"Ice Hockey Men's Ice Hockey","Bronze",9798871,50579.67365,25,9,7.314,428
"Karl Sigurd Andersson","M",25,"SWE",1952,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Bronze",9798871,50579.67365,25,9,7.314,428
"Carl Sture Mikael Andersson","M",30,"SWE",1980,"Ice Hockey Men's Ice Hockey","Bronze",9798871,50579.67365,25,9,7.314,428
"Karl Volger Andersson","M",32,"SWE",1928,"Cross Country Skiing Men's 50 kilometres","Bronze",9798871,50579.67365,25,9,7.314,428
"Hans Lennart Andersson-Tvilling","M",23,"SWE",1952,"Ice Hockey Men's Ice Hockey","Bronze",9798871,50579.67365,25,9,7.314,428
"Stig Gunnar Andersson-Tvilling","M",23,"SWE",1952,"Ice Hockey Men's Ice Hockey","Bronze",9798871,50579.67365,25,9,7.314,428
"Gunn Margit Aas Andreassen","F",24,"NOR",1998,"Biathlon Women's 4 x 7.5 kilometres Relay","Bronze",5195921,74400.36978,15,2,7.594,443
"Gunn Margit Aas Andreassen","F",28,"NOR",2002,"Biathlon Women's 4 x 7.5 kilometres Relay","Silver",5195921,74400.36978,15,2,7.594,443
"Giannin ""Gian"" Andreossi","M",25,"SUI",1928,"Ice Hockey Men's Ice Hockey","Bronze",8286976,80945.07922,219,5,7.487,275
"Munrezzan ""Mezzi"" Andreossi","M",30,"SUI",1928,"Ice Hockey Men's Ice Hockey","Bronze",8286976,80945.07922,219,5,7.487,275
"Dominic Andres","M",25,"SUI",1998,"Curling Men's Curling","Gold",8286976,80945.07922,219,5,7.487,275
"Frode Andresen","M",24,"NOR",1998,"Biathlon Men's 10 kilometres Sprint","Silver",5195921,74400.36978,15,2,7.594,443
"Frode Andresen","M",28,"NOR",2002,"Biathlon Men's 4 x 7.5 kilometres Relay","Gold",5195921,74400.36978,15,2,7.594,443
"Frode Andresen","M",32,"NOR",2006,"Biathlon Men's 10 kilometres Sprint","Bronze",5195921,74400.36978,15,2,7.594,443
"Matteo Anesi","M",21,"ITA",2006,"Speed Skating Men's Team Pursuit (8 laps)","Gold",60802085,29957.80432,206,47,6,191
"Tobias Angerer","M",24,"GER",2002,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Bronze",81413145,41313.31399,240,15,6.965,386
"Tobias Angerer","M",28,"GER",2006,"Cross Country Skiing Men's 15 kilometres","Bronze",81413145,41313.31399,240,15,6.965,386
"Tobias Angerer","M",28,"GER",2006,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Silver",81413145,41313.31399,240,15,6.965,386
"Tobias Angerer","M",32,"GER",2010,"Cross Country Skiing Men's 30 km Skiathlon","Silver",81413145,41313.31399,240,15,6.965,386
"Heinrich ""Heiri"" Angst","M",40,"SUI",1956,"Bobsleigh Men's Four","Gold",8286976,80945.07922,219,5,7.487,275
"Max Angst","M",34,"SUI",1956,"Bobsleigh Men's Two","Bronze",8286976,80945.07922,219,5,7.487,275
"Martin Annen","M",27,"SUI",2002,"Bobsleigh Men's Two","Bronze",8286976,80945.07922,219,5,7.487,275
"Martin Annen","M",31,"SUI",2006,"Bobsleigh Men's Two","Bronze",8286976,80945.07922,219,5,7.487,275
"Martin Annen","M",31,"SUI",2006,"Bobsleigh Men's Four","Bronze",8286976,80945.07922,219,5,7.487,275
"Daniela Anschtz-Thoms","F",31,"GER",2006,"Speed Skating Women's Team Pursuit (6 laps)","Gold",81413145,41313.31399,240,15,6.965,386
"Daniela Anschtz-Thoms","F",35,"GER",2010,"Speed Skating Women's Team Pursuit (6 laps)","Gold",81413145,41313.31399,240,15,6.965,386
"Dana Antal","F",24,"CAN",2002,"Ice Hockey Women's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Matthew ""Matt"" Antoine","M",28,"USA",2014,"Skeleton Men's Skeleton","Bronze",321418820,56115.71843,36,18,6.886,635
"Michele Antonioli","M",25,"ITA",2002,"Short Track Speed Skating Men's 5,000 metres Relay","Silver",60802085,29957.80432,206,47,6,191
"Vladislav Nikolayevich Antonov","M",22,"RUS",2014,"Luge Mixed Team Relay","Silver",144096812,9092.580536,9,59,5.81,260
"Katrin Apel","F",24,"GER",1998,"Biathlon Women's 7.5 kilometres Sprint","Bronze",81413145,41313.31399,240,15,6.965,386
"Katrin Apel","F",24,"GER",1998,"Biathlon Women's 4 x 7.5 kilometres Relay","Gold",81413145,41313.31399,240,15,6.965,386
"Katrin Apel","F",28,"GER",2002,"Biathlon Women's 4 x 7.5 kilometres Relay","Gold",81413145,41313.31399,240,15,6.965,386
"Katrin Apel","F",32,"GER",2006,"Biathlon Women's 4 x 6 kilometres Relay","Silver",81413145,41313.31399,240,15,6.965,386
"Knut Tore Apeland","M",23,"NOR",1992,"Nordic Combined Men's Team","Silver",5195921,74400.36978,15,2,7.594,443
"Knut Tore Apeland","M",25,"NOR",1994,"Nordic Combined Men's Team","Silver",5195921,74400.36978,15,2,7.594,443
"Ingo Appelt","M",30,"AUT",1992,"Bobsleigh Men's Four","Gold",8611088,43774.98517,109,12,7.139,280
"Gillian Mary Apps","F",22,"CAN",2006,"Ice Hockey Women's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Gillian Mary Apps","F",26,"CAN",2010,"Ice Hockey Women's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Gillian Mary Apps","F",30,"CAN",2014,"Ice Hockey Women's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"David John ""Dave"" Archibald","M",22,"CAN",1992,"Ice Hockey Men's Ice Hockey","Silver",35851774,43248.52991,4,7,7.328,611
"Tobias Arlt","M",26,"GER",2014,"Luge Mixed (Men)'s Doubles","Gold",81413145,41313.31399,240,15,6.965,386
"Tobias Arlt","M",26,"GER",2014,"Luge Mixed Team Relay","Gold",81413145,41313.31399,240,15,6.965,386
"Mario Armano","M",21,"ITA",1968,"Bobsleigh Men's Four","Gold",60802085,29957.80432,206,47,6,191
"Debra Rae ""Debbie"" Armstrong","F",20,"USA",1984,"Alpine Skiing Women's Giant Slalom","Gold",321418820,56115.71843,36,18,6.886,635
"Skinnar Lars-Gran Arwidson","M",21,"SWE",1968,"Biathlon Men's 4 x 7.5 kilometres Relay","Bronze",9798871,50579.67365,25,9,7.314,428
"Skinnar Lars-Gran Arwidson","M",25,"SWE",1972,"Biathlon Men's 20 kilometres","Bronze",9798871,50579.67365,25,9,7.314,428
"Hansjrg Aschenwald","M",22,"AUT",1988,"Nordic Combined Men's Team","Bronze",8611088,43774.98517,109,12,7.139,280
"Jeanne Chesley Ashworth (-Walker-)","F",21,"USA",1960,"Speed Skating Women's 500 metres","Bronze",321418820,56115.71843,36,18,6.886,635
"Karl Peter slin","M",25,"SWE",1988,"Ice Hockey Men's Ice Hockey","Bronze",9798871,50579.67365,25,9,7.314,428
"Karl-ke Asph","M",24,"SWE",1964,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Gold",9798871,50579.67365,25,9,7.314,428
"Carl-Erik Asplund","M",28,"SWE",1952,"Speed Skating Men's 10,000 metres","Bronze",9798871,50579.67365,25,9,7.314,428
"Jenni Anna Christina Asserholt","F",17,"SWE",2006,"Ice Hockey Women's Ice Hockey","Silver",9798871,50579.67365,25,9,7.314,428
"Mark Astley","M",24,"CAN",1994,"Ice Hockey Men's Ice Hockey","Silver",35851774,43248.52991,4,7,7.328,611
"James Neil ""Jim"" Atkinson","M",23,"USA",1952,"Bobsleigh Men's Four","Silver",321418820,56115.71843,36,18,6.886,635
"Robert Allan ""Bob"" Attersley","M",26,"CAN",1960,"Ice Hockey Men's Ice Hockey","Silver",35851774,43248.52991,4,7,7.328,611
"Susan Margaret Auch","F",27,"CAN",1994,"Speed Skating Women's 500 metres","Silver",35851774,43248.52991,4,7,7.328,611
"Susan Margaret Auch","F",31,"CAN",1998,"Speed Skating Women's 500 metres","Silver",35851774,43248.52991,4,7,7.328,611
"Adrian Mark Aucoin","M",20,"CAN",1994,"Ice Hockey Men's Ice Hockey","Silver",35851774,43248.52991,4,7,7.328,611
"Gordon Vernon Audley","M",23,"CAN",1952,"Speed Skating Men's 500 metres","Bronze",35851774,43248.52991,4,7,7.328,611
"Alfred Aufdenblatten","M",26,"SUI",1924,"Military Ski Patrol Men's Military Ski Patrol","Gold",8286976,80945.07922,219,5,7.487,275
"Inger Reidun Aufles (Dving-)","F",26,"NOR",1968,"Cross Country Skiing Women's 10 kilometres","Bronze",5195921,74400.36978,15,2,7.594,443
"Inger Reidun Aufles (Dving-)","F",26,"NOR",1968,"Cross Country Skiing Women's 3 x 5 kilometres Relay","Gold",5195921,74400.36978,15,2,7.594,443
"Inger Reidun Aufles (Dving-)","F",30,"NOR",1972,"Cross Country Skiing Women's 3 x 5 kilometres Relay","Bronze",5195921,74400.36978,15,2,7.594,443
"Anders Aukland","M",29,"NOR",2002,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Gold",5195921,74400.36978,15,2,7.594,443
"Ove Robert Aunli","M",23,"NOR",1980,"Cross Country Skiing Men's 15 kilometres","Bronze",5195921,74400.36978,15,2,7.594,443
"Ove Robert Aunli","M",23,"NOR",1980,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Silver",5195921,74400.36978,15,2,7.594,443
"Berit Kristine Aunli-Kvello","F",23,"NOR",1980,"Cross Country Skiing Women's 4 x 5 kilometres Relay","Bronze",5195921,74400.36978,15,2,7.594,443
"Berit Kristine Aunli-Kvello","F",27,"NOR",1984,"Cross Country Skiing Women's 5 kilometres","Silver",5195921,74400.36978,15,2,7.594,443
"Berit Kristine Aunli-Kvello","F",27,"NOR",1984,"Cross Country Skiing Women's 4 x 5 kilometres Relay","Gold",5195921,74400.36978,15,2,7.594,443
"Walter Auerdorfer","M",24,"ITA",1964,"Luge Mixed (Men)'s Doubles","Bronze",60802085,29957.80432,206,47,6,191
"Ilya Izyaslavovich Averbukh","M",28,"RUS",2002,"Figure Skating Mixed Ice Dancing","Silver",144096812,9092.580536,9,59,5.81,260
"Anders Per-Johan Axelsson","M",30,"SWE",2006,"Ice Hockey Men's Ice Hockey","Gold",9798871,50579.67365,25,9,7.314,428
"Reinhold Bachler","M",23,"AUT",1968,"Ski Jumping Men's Normal Hill, Individual","Silver",8611088,43774.98517,109,12,7.139,280
"Ulrich ""Ueli"" Bchli","M",26,"SUI",1976,"Bobsleigh Men's Four","Silver",8286976,80945.07922,219,5,7.487,275
"Ulrich ""Ueli"" Bchli","M",30,"SUI",1980,"Bobsleigh Men's Four","Silver",8286976,80945.07922,219,5,7.487,275
"David Anthony Backes","M",25,"USA",2010,"Ice Hockey Men's Ice Hockey","Silver",321418820,56115.71843,36,18,6.886,635
"Rune Christian Bckman","M",25,"SWE",2006,"Ice Hockey Men's Ice Hockey","Gold",9798871,50579.67365,25,9,7.314,428
"Kjell Hilding Bckman","M",25,"SWE",1960,"Speed Skating Men's 10,000 metres","Bronze",9798871,50579.67365,25,9,7.314,428
"Lars Nicklas Bckstrm","M",26,"SWE",2014,"Ice Hockey Men's Ice Hockey","Silver",9798871,50579.67365,25,9,7.314,428
"Niklas Oskar Bckstrm","M",31,"FIN",2010,"Ice Hockey Men's Ice Hockey","Bronze",5482013,42311.03623,18,1,7.632,426
"Sherwin Campbell Badger","M",30,"USA",1932,"Figure Skating Mixed Pairs","Silver",321418820,56115.71843,36,18,6.886,635
"Shannon Deanne Bahrke","F",21,"USA",2002,"Freestyle Skiing Women's Moguls","Silver",321418820,56115.71843,36,18,6.886,635
"Shannon Deanne Bahrke","F",29,"USA",2010,"Freestyle Skiing Women's Moguls","Bronze",321418820,56115.71843,36,18,6.886,635
"Ernst Baier","M",30,"GER",1936,"Figure Skating Men's Singles","Silver",81413145,41313.31399,240,15,6.965,386
"Ernst Baier","M",30,"GER",1936,"Figure Skating Mixed Pairs","Gold",81413145,41313.31399,240,15,6.965,386
"Anke Baier-Loef","F",21,"GER",1994,"Speed Skating Women's 1,000 metres","Silver",81413145,41313.31399,240,15,6.965,386
"Christina ""Chris"" Bailey","F",26,"USA",1998,"Ice Hockey Women's Ice Hockey","Gold",321418820,56115.71843,36,18,6.886,635
"Christina ""Chris"" Bailey","F",30,"USA",2002,"Ice Hockey Women's Ice Hockey","Silver",321418820,56115.71843,36,18,6.886,635
"Wiliam Robert ""Bill"" Baker","M",23,"USA",1980,"Ice Hockey Men's Ice Hockey","Gold",321418820,56115.71843,36,18,6.886,635
"Laurie Baker (-Mutch)","F",21,"USA",1998,"Ice Hockey Women's Ice Hockey","Gold",321418820,56115.71843,36,18,6.886,635
"Laurie Baker (-Mutch)","F",25,"USA",2002,"Ice Hockey Women's Ice Hockey","Silver",321418820,56115.71843,36,18,6.886,635
"Jill Bakken (-Linder)","F",25,"USA",2002,"Bobsleigh Women's Two","Gold",321418820,56115.71843,36,18,6.886,635
"Glenys Bakker","F",43,"CAN",2006,"Curling Women's Curling","Bronze",35851774,43248.52991,4,7,7.328,611
"Rudolf Victor ""Rudi"" Ball","M",20,"GER",1932,"Ice Hockey Men's Ice Hockey","Bronze",81413145,41313.31399,240,15,6.965,386
"Ivar Eugen Ballangrud (Eriksen-)","M",23,"NOR",1928,"Speed Skating Men's 1,500 metres","Bronze",5195921,74400.36978,15,2,7.594,443
